Date, Open, High, Low, Close, Volume
20211129  14:30:00,3545.97,3561.04,3535.35,3539.34,1201
20211129  14:35:00,3536.4,3548.45,3531.5,3547.03,389
20211129  14:40:00,3548.0,3552.6,3540.72,3546.23,258
20211129  14:45:00,3546.86,3547.02,3535.0,3543.75,265
20211129  14:50:00,3544.01,3550.0,3542.99,3544.0,260
20211129  14:55:00,3543.47,3566.01,3542.11,3564.96,422
20211129  15:00:00,3565.0,3575.0,3555.51,3563.74,447
20211129  15:05:00,3566.08,3576.0,3564.33,3573.5,393
20211129  15:10:00,3573.11,3583.14,3570.11,3571.31,359
20211129  15:15:00,3572.59,3579.38,3572.1,3578.44,183
20211129  15:20:00,3576.62,3576.76,3564.96,3570.56,139
20211129  15:25:00,3571.35,3577.84,3570.78,3572.75,152
20211129  15:30:00,3574.19,3579.27,3571.41,3575.65,186
20211129  15:35:00,3576.96,3581.0,3566.21,3571.36,224
20211129  15:40:00,3570.91,3576.79,3565.55,3572.61,119
20211129  15:45:00,3572.0,3573.74,3567.0,3568.43,143
20211129  15:50:00,3567.87,3570.0,3559.02,3559.75,134
20211129  15:55:00,3559.73,3566.29,3559.72,3563.31,80
20211129  16:00:00,3562.84,3566.29,3560.82,3561.88,83
20211129  16:05:00,3564.36,3568.99,3564.18,3568.5,84
20211129  16:10:00,3568.66,3569.0,3562.97,3566.95,51
20211129  16:15:00,3567.68,3569.82,3564.44,3565.82,46
20211129  16:20:00,3566.89,3572.0,3563.79,3570.79,106
20211129  16:25:00,3570.32,3575.57,3568.86,3568.87,100
20211129  16:30:00,3570.58,3578.0,3569.21,3571.56,102
20211129  16:35:00,3572.52,3575.98,3571.46,3574.83,45
20211129  16:40:00,3576.11,3579.79,3576.11,3577.95,134
20211129  16:45:00,3579.4,3581.45,3576.23,3579.7,179
20211129  16:50:00,3580.74,3581.83,3578.19,3580.44,96
20211129  16:55:00,3580.84,3582.83,3574.7,3576.18,146
20211129  17:00:00,3576.86,3577.04,3570.77,3574.87,136
20211129  17:05:00,3575.52,3579.08,3572.89,3574.74,98
20211129  17:10:00,3574.76,3577.32,3574.76,3576.39,130
20211129  17:15:00,3576.62,3579.28,3574.97,3579.24,72
20211129  17:20:00,3579.76,3585.0,3578.95,3584.47,176
20211129  17:25:00,3584.6,3589.4,3583.65,3586.28,182
20211129  17:30:00,3586.51,3591.0,3585.37,3590.32,164
20211129  17:35:00,3589.0,3592.42,3587.35,3587.35,132
20211129  17:40:00,3587.68,3593.0,3587.31,3588.3,109
20211129  17:45:00,3588.52,3592.03,3588.52,3590.2,67
20211129  17:50:00,3589.43,3589.95,3583.4,3584.97,137
20211129  17:55:00,3583.33,3590.0,3583.33,3587.05,125
20211129  18:00:00,3587.55,3588.72,3587.19,3587.64,49
20211129  18:05:00,3588.34,3590.0,3587.07,3587.74,71
20211129  18:10:00,3588.4,3589.65,3583.33,3585.88,103
20211129  18:15:00,3585.86,3587.89,3583.0,3587.89,87
20211129  18:20:00,3587.74,3592.87,3586.79,3592.3,82
20211129  18:25:00,3593.34,3595.01,3589.38,3592.46,179
20211129  18:30:00,3594.19,3596.0,3592.58,3593.75,107
20211129  18:35:00,3590.86,3594.0,3589.06,3589.9,58
20211129  18:40:00,3590.34,3594.88,3590.1,3593.03,72
20211129  18:45:00,3593.42,3594.36,3591.18,3593.79,45
20211129  18:50:00,3594.1,3594.1,3589.15,3590.37,65
20211129  18:55:00,3590.4,3592.4,3586.83,3588.91,108
20211129  19:00:00,3589.13,3591.23,3583.69,3585.39,105
20211129  19:05:00,3585.72,3585.78,3581.88,3582.05,129
20211129  19:10:00,3583.07,3584.24,3576.91,3578.09,146
20211129  19:15:00,3578.7,3579.45,3574.95,3577.51,142
20211129  19:20:00,3577.65,3581.0,3576.8,3578.27,74
20211129  19:25:00,3579.0,3579.57,3573.15,3575.43,66
20211129  19:30:00,3575.69,3578.42,3573.0,3574.37,82
20211129  19:35:00,3573.56,3574.57,3566.4,3568.33,204
20211129  19:40:00,3568.82,3573.01,3568.0,3570.98,74
20211129  19:45:00,3570.32,3577.77,3568.6,3575.95,119
20211129  19:50:00,3576.21,3578.98,3573.11,3574.15,123
20211129  19:55:00,3574.66,3580.04,3574.65,3580.04,89
20211129  20:00:00,3579.82,3583.81,3579.26,3581.28,96
20211129  20:05:00,3581.11,3584.09,3578.72,3582.81,68
20211129  20:10:00,3581.1,3586.12,3580.43,3584.91,84
20211129  20:15:00,3584.78,3586.08,3576.69,3580.29,113
20211129  20:20:00,3580.09,3582.04,3570.99,3573.09,112
20211129  20:25:00,3574.6,3576.88,3572.81,3574.73,141
20211129  20:30:00,3573.42,3579.62,3569.45,3579.62,231
20211129  20:35:00,3580.0,3580.38,3571.01,3572.97,136
20211129  20:40:00,3573.3,3575.67,3570.97,3575.67,92
20211129  20:45:00,3574.78,3577.07,3569.77,3569.77,162
20211129  20:50:00,3569.18,3570.6,3564.44,3569.43,254
20211129  20:55:00,3568.06,3569.69,3558.3,3560.68,464
20211130  14:30:00,3563.5,3575.0,3557.05,3575.0,663
20211130  14:35:00,3577.62,3583.99,3559.0,3560.82,334
